,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
0,03/10/20,35.85,56660610,,,,35.85,,35.51,35.89,34.24,,2020-03-10,2020.1917808219177,0.0
1,03/11/20,34.52,45340450,-1.33,-3.71,-3.71,34.52,-3.71,34.85,35.07,34.16,-3.71,2020-03-11,2020.194520547945,-3.71
2,03/12/20,31.33,84215240,-3.19,-9.24,-9.24,31.33,-12.61,31.86,33.43,31.06,-12.61,2020-03-12,2020.1972602739727,-9.24
3,03/13/20,34.47,64688760,3.14,10.02,10.02,34.47,-3.85,32.92,34.61,31.86,-3.85,2020-03-13,2020.2,10.02
4,03/16/20,31.81,58776600,-2.66,-7.72,-7.72,31.81,-11.27,31.0,33.89,30.92,-11.27,2020-03-16,2020.2082191780821,-7.72
5,03/17/20,33.74,59642020,1.93,6.07,6.07,33.74,-5.89,32.12,34.06,32.01,-5.89,2020-03-17,2020.2109589041097,6.07
6,03/18/20,32.85,76034400,-0.89,-2.64,-2.64,32.85,-8.37,32.0,32.91,30.25,-8.37,2020-03-18,2020.213698630137,-2.64
7,03/19/20,31.15,60817168,-1.7,-5.18,-5.18,31.15,-13.11,31.36,32.49,30.5,-13.11,2020-03-19,2020.2164383561644,-5.18
8,03/20/20,28.45,116732305,-2.7,-8.67,-8.67,28.45,-20.64,30.46,30.5,28.18,-20.64,2020-03-20,2020.2191780821918,-8.67
9,03/23/20,26.77,96884140,-1.68,-5.91,-5.91,26.77,-25.33,27.39,27.71,26.08,-25.33,2020-03-23,2020.227397260274,-5.91
10,03/24/20,28.09,76300914,1.32,4.93,4.93,28.09,-21.65,28.0,28.3,26.84,-21.65,2020-03-24,2020.2301369863014,4.93
11,03/25/20,28.4,68027710,0.31,1.1,1.1,28.4,-20.78,28.08,29.93,27.37,-20.78,2020-03-25,2020.2328767123288,1.1
12,03/26/20,30.6,64092406,2.2,7.75,7.75,30.6,-14.64,28.68,30.96,28.68,-14.64,2020-03-26,2020.2356164383561,7.75
13,03/27/20,29.84,46386008,-0.76,-2.48,-2.48,29.84,-16.76,29.69,30.82,29.22,-16.76,2020-03-27,2020.2383561643835,-2.48
14,03/30/20,30.23,41629880,0.39,1.31,1.31,30.23,-15.68,29.9,30.41,29.48,-15.68,2020-03-30,2020.2465753424658,1.31
15,03/31/20,29.15,69813370,-1.08,-3.57,-3.57,29.15,-18.69,30.04,30.13,29.05,-18.69,2020-03-31,2020.2493150684932,-3.57
16,04/01/20,28.05,54645992,-1.1,-3.77,-3.77,28.05,-21.76,28.38,28.58,27.7,-21.76,2020-04-01,2020.2493150684932,-3.77
17,04/02/20,28.76,33818420,0.71,2.53,2.53,28.76,-19.78,28.0,28.87,28.0,-19.78,2020-04-02,2020.2520547945205,2.53
18,04/03/20,27.46,53443180,-1.3,-4.52,-4.52,27.46,-23.4,28.53,28.74,27.25,-23.4,2020-04-03,2020.2547945205479,-4.52
