,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
0,03/10/20,53.66,27457400,,,,53.66,,53.22,53.8,51.17,,2020-03-10,2020.1917808219175,0.0
1,03/11/20,52.21,22660710,-1.45,-2.7,-2.7,52.21,-2.7,52.35,52.65,51.14,-2.7,2020-03-11,2020.194520547945,-2.7
2,03/12/20,47.16,31913100,-5.05,-9.67,-9.67,47.16,-12.11,48.54,49.93,46.69,-12.11,2020-03-12,2020.1972602739727,-9.67
3,03/13/20,48.47,33697152,1.31,2.78,3.65,48.88,-8.91,49.51,49.56,46.61,-9.67,2020-03-13,2020.2,3.65
4,03/16/20,45.26,28682290,-3.21,-6.62,-6.62,45.64,-14.94,42.24,47.88,41.17,-15.65,2020-03-16,2020.208219178082,-6.62
5,03/17/20,47.18,32106680,1.92,4.24,4.24,47.58,-11.33,45.88,47.5,45.37,-12.08,2020-03-17,2020.2109589041097,4.24
6,03/18/20,44.85,35408290,-2.33,-4.94,-4.94,45.23,-15.71,44.74,45.15,41.59,-16.42,2020-03-18,2020.213698630137,-4.94
7,03/19/20,41.83,41956848,-3.02,-6.73,-6.73,42.18,-21.39,44.36,44.66,41.04,-22.05,2020-03-19,2020.2164383561644,-6.73
8,03/20/20,38.3,51513500,-3.53,-8.44,-8.44,38.62,-28.02,41.95,42.07,37.51,-28.62,2020-03-20,2020.219178082192,-8.44
9,03/23/20,37.56,44978500,-0.74,-1.93,-1.93,37.88,-29.41,38.76,38.89,36.27,-30.0,2020-03-23,2020.227397260274,-1.93
10,03/24/20,39.45,49096207,1.89,5.03,5.03,39.78,-25.86,41.22,41.4,38.83,-26.48,2020-03-24,2020.2301369863012,5.03
11,03/25/20,41.61,42511650,2.16,5.48,5.48,41.96,-21.8,40.63,43.45,39.91,-22.46,2020-03-25,2020.2328767123288,5.48
12,03/26/20,44.29,37828290,2.68,6.44,6.44,44.66,-16.76,42.84,45.27,42.45,-17.46,2020-03-26,2020.235616438356,6.44
