,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
0,Bats Global Markets Inc,BATS,1659228,05491G109,BATS,True,Domestic Common Stock,Financial Services,Asset Management,6200,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,,Trading,USD,Kansas; U.S.A,ceb68758720984a570663b5e49c4378c,
1,Cboe Global Markets Inc,CBOE,1374310,12503M108,BATS,False,Domestic Common Stock,Financial Services,Financial Exchanges,6200,Finance Insurance And Real Estate,Security & Commodity Brokers Dealers Exchanges & Services,,Trading,USD,Illinois; U.S.A,8a916deecbc25ffebf30728238a9a905,115.08
2,Goldman Sachs Physical Gold ETF,AAAU,1708646,38150K103 715426102,BATS,False,ETF,,,6221,Finance Insurance And Real Estate,Commodity Contracts Brokers & Dealers,,,USD,Oklahoma; U.S.A,0003361a26c7b4ff56f529272fc5e7a5,19.79
3,Aptus Collared Income Opportunity ETF,ACIO,1540305,26922A222,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,18d3a41fa67b216204df2e3d3328a53a,30.47
4,American Customer Satisfaction ETF,ACSI,1540305,26922A776 886364710,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,f7fcfd7174b400371ba6673426444e4f,47.6561
5,iShares MSCI Global Min Vol Factor ETF,ACWV,930667,464286525,BATS,False,ETF,,,,,,,,USD,California; U.S.A,2aec70b462db70872c6ca22fc29283f8,100.89
6,Anfield Dynamic Fixed Income ETF,ADFI,1552947,90214Q725,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,f876276b4e920b89632b022a559af85c,9.1
7,Aptus Drawdown Managed Equity ETF,ADME,1540305,26922A784,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,30c42fdadc05e4aef93209539586b516,39.4
8,Anfield US Equity Sector Rotation ETF,AESR,1552947,90214Q733,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,68b2e4e25a8fa4d67909c79f4b64b358,12.53
9,Anfield Universal Fixed Income ETF,AFIF,1552947,90214Q766,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,a74e545a0aadf83c8924501312a81666,9.3
10,iShares MSCI Argentina and Global Exposure ETF,AGT,1100663,46435G276,BATS,False,CEF,,,,,,,,USD,California; U.S.A,bb899b3469cf1b99472f1a71b8fdbfe6,27.5398
11,AlphaClone Alternative Alpha ETF,ALFA,1540305,26922A305,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,93b4db5e2a076dd53e22279fedb596a9,64.69
13,ProShares Morningstar Alternatives Solution ETF,ALTS,1174610,74347B813,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,c8326a733f7068a26ba726871e471a5b,38.2919
14,Emles Made in America ETF,AMER,1755351,291361707,BATS,False,ETF,,,,,,,,USD,Texas; U.S.A,8f01875de1a3e0b6c3af93e1baa71947,29.0523
17,APEX HealthCare ETF,APXH,1552947,90214Q659,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,fac64da203dbd7ef837ed601c26cfeed,8.8535
18,Arrow Reserve Capital Management ETF,ARCM,1527428,042765719 042765776,BATS,False,ETF,,,,,,,,USD,Maryland; U.S.A,fb5d861fdb5ad836c4f0906e1608e079,99.4198
19,ARK Genomic Revolution ETF,ARKG,1579982,00214Q302,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,8f25277cb44db4aa915d9b6d46d6ba62,44.77
20,ARK Autonomous Technology & Robotics ETF,ARKQ,1579982,00214Q203,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,0e9d836c8acb749beb67cc0b68f945d7,62.42
21,ARK Space Exploration & Innovation ETF,ARKX,1579982,00214Q807,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,75ca23c827cf4352a032461c28f7a930,16.62
24,TrueShares Structured Outcome (August) ETF,AUGZ,1683471,53656F722,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,1372c3ded83ad069e583997e06ae70c9,31.1822
25,AVDR US LargeCap ESG ETF,AVDG,1764795,64157X203,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,3ae8a7484e900a1033f5addf140aa3c6,29.1148
26,AVDR US LargeCap Leading ETF,AVDR,1764795,64157X104,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,d47a0364d1fc2c62a1c473455e13945c,27.89
27,Innovator Defined Wealth Shield ETF,BALT,1415726,45783Y855,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,966415cff1b45f3b14753b53d2a803f6,25.8
28,Innovator US Equity Buffer ETF - April,BAPR,1415726,45782C888,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,b088c8b3e6633b9559f0910b5970f2ea,32.1846
29,Innovator US Equity Buffer ETF - August,BAUG,1415726,45782C698,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,8f01d5bbd3454a940418d255e2982681,31.27
30,JPMorgan BetaBuilders Developed Asia Pacific ex-Japan ETF,BBAX,1485894,46641Q688 46641Q233,BATS,False,ETF,,,,,,,,USD,New York; U.S.A,938b7c2bdfc41116144feb1e63ecc670,52.28
