,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
0,AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2021-12-31,2569326297000,128217997000,26.17,3.202,4.402,0.865,0.0055,6.01,22.84,0.266,0.309,0.199,1.456,378323010000,152836000000,6.01,0.25,0.112,193.05,26.17,27.55,6.79,37.4,7.27,21.0,1.185,182.71,118.16,170.27,152.97,16319400000,2022-02-10,2022-02-04
0,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",June,2021-12-31,2068011549000,90829996000,29.38,2.416,21.34,2.36,0.0089,9.39,24.59,0.385,0.425,0.152,0.49,184902992000,115856000000,9.39,0.222,0.201,370.89,29.38,32.47,11.18,13.93,11.72,22.84,0.911,348.95,227.5,306.93,299.39,7496870000,2022-03-10,2022-02-16
0,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",January,2022-01-31,536128881000,11215000000,55.88,3.221,10.63,0.16,0.0007,3.85,10.78,0.362,0.373,0.172,0.448,26914001000,17475000000,3.85,1.04,0.528,341.17,55.88,43.67,19.92,22.91,22.3,52.87,1.411,346.37,122.63,255.79,234.17,2492000000,2022-03-24,2022-03-02
0,HD,Common Stock,The Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",January,2022-01-31,330752557000,25902000000,20.4,2.151,0.989,6.85,0.0235,15.53,143.41,0.109,0.152,0.202,0.205,151156998000,50832000000,15.53,0.207,0.107,383.49,20.4,20.16,2.188,318.99,2.473,14.4,1.062,420.61,262.94,363.67,349.27,1044240000,2022-03-24,2022-03-09
0,COST,Common Stock,Costco Wholesale Corporation,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",August,2022-02-28,234281800000,9783000000,42.99,4.262,43.8,3.16,0.006,12.4,474.19,0.0262,0.0379,0.0843,31.44,210219008000,25245000000,12.41,0.364,0.159,558.86,42.17,41.49,1.104,12.43,1.113,25.3,0.662,570.63,320.08,520.16,471.71,443279000,2022-02-18,2022-02-03
0,T,Common Stock,AT&T Inc,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world largest telecommunications company, and the second largest provider of mobile telephone services.",732717,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"208 S. AKARD ST, ATTN : JAMES LACY, DALLAS, TX, US",December,2021-12-31,168358000000,56746000000,7.07,3.835,23.29,2.08,0.0882,2.764,23.56,0.119,0.219,0.0428,12.12,168864006000,89057000000,2.764,1.114,-0.104,29.49,8.32,7.65,0.973,1.027,2.07,6.17,0.648,31.99,21.58,24.93,26.39,7142890000,2022-02-01,2022-01-07
0,TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",December,2021-12-31,866379100000,9333000000,168.32,2.393,29.23,0,0,4.922,54.59,0.102,0.121,0.0714,21.08,53823001000,13606000000,4.901,7.54,0.649,959.33,168.21,81.97,15.83,27.73,15.39,86.04,2.049,1243.49,546.98,951.83,840.87,1033510000,None,None
0,F,Common Stock,Ford Motor Company,"Ford Motor Company, commonly known as Ford, is an American multinational automaker that has its main headquarters in Dearborn, Michigan.",37996,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"ONE AMERICAN ROAD, DEARBORN, MI, US",December,2021-12-31,63947830000,16227000000,3.23,0.449,12.12,0.1,0.025,4.434,34.16,0.132,0.0777,0.0252,45.29,136340996000,16507000000,4.45,-0.25,0.048,21.47,3.602,8.44,0.471,1.472,1.183,5.24,1.121,25.74,11.03,20.08,16.72,3933400000,2022-03-01,2022-01-28
0,KO,Common Stock,The Coca-Cola Company,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",December,2021-12-31,264810700000,12773000000,24.06,2.784,5.32,1.68,0.0281,2.255,8.96,0.253,0.293,0.0779,46.2,38655001000,23298000000,2.25,0.666,0.099,67.39,26.07,25.45,6.58,11.85,7.83,19.56,0.663,63.02,49.04,60.79,56.79,4335470000,2022-04-01,2022-03-14
0,NKE,Common Stock,NIKE Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,2021-11-30,196776400000,7982000000,33.47,2.152,9.43,1.13,0.0093,3.814,29.3,0.133,0.157,0.123,48.26,46306001000,20001000000,3.81,0.064,0.01,180.63,31.81,29.33,4.139,14.71,4.689,27.61,0.972,178.78,120.8,147.77,155.91,1276290000,2022-04-01,2022-03-04
