,v,vw,o,c,h,l,t,n,10Y yield,monthly_inflation_exp,employment_rate,daily return,time
0,276990436.0,281.1395,284.64,288.42,288.52,273.5,2020-03-10,2516869,0.76,2.1,14.7,0.0,2020.1917808219177
1,256734314.0,277.6211,280.7,274.36,281.94,270.88,2020-03-11,2152459,0.82,2.1,14.7,-0.0487483530961792,2020.194520547945
2,393679530.0,255.6975,256.0,248.11,266.66,247.68,2020-03-12,3709924,0.88,2.1,14.7,-0.09567721242163585,2020.1972602739727
3,330252283.0,258.7299,263.09,269.32,271.4754,249.58,2020-03-13,2676722,0.94,2.1,14.7,0.08548627624843808,2020.2
4,296792617.0,248.7405,241.18,239.85,256.9,237.36,2020-03-16,2147728,0.73,2.1,14.7,-0.10942373384821036,2020.2082191780821
5,261836127.0,247.7393,245.04,252.8,256.17,237.07,2020-03-17,2175107,1.02,2.1,14.7,0.05399207838232245,2020.2109589041097
6,327724219.0,237.823,236.25,240.0,248.37,228.02,2020-03-18,2874727,1.18,2.1,14.7,-0.05063291139240511,2020.213698630137
7,289790568.0,241.3464,239.25,240.51,247.38,232.22,2020-03-19,2855919,1.12,2.1,14.7,0.0021249999999999325,2020.2164383561644
8,348045753.0,236.7731,242.53,228.8,244.47,228.5,2020-03-20,2926970,0.92,2.1,14.7,-0.04868820423267217,2020.2191780821918
9,327229472.0,224.6878,228.19,222.95,229.6833,218.26,2020-03-23,2848115,0.76,2.1,14.7,-0.02556818181818188,2020.227397260274
10,235954426.0,237.7335,234.42,243.15,244.1,233.8,2020-03-24,1625793,0.84,2.1,14.7,0.09060327427674375,2020.2301369863014
11,300041840.0,247.9208,244.87,246.79,256.35,239.75,2020-03-25,2166620,0.88,2.1,14.7,0.01497018301460007,2020.2328767123288
12,258161719.0,255.7588,249.52,261.2,262.8,249.05,2020-03-26,1886241,0.83,2.1,14.7,0.05838972405689047,2020.2356164383561
13,224788741.0,255.3593,253.27,253.42,260.81,251.05,2020-03-27,1672719,0.72,2.1,14.7,-0.02978560490045945,2020.2383561643835
14,171081883.0,258.827,255.7,261.65,262.43,253.53,2020-03-30,1127437,0.70,2.1,14.7,0.03247573198642573,2020.2465753424658
15,193987536.0,259.7994,260.56,257.75,263.33,256.22,2020-03-31,1189039,0.70,2.1,14.7,-0.014905407987769848,2020.2493150684932
16,190167231.0,249.6237,247.98,246.15,257.6591,243.9,2020-04-01,1214396,0.62,2.1,13.2,-0.04500484966052376,2020.2493150684932
17,190167231.0,249.6237,247.98,246.15,257.6591,243.9,2020-04-01,1214396,0.62,2.1,14.7,0.0,2020.2493150684932
18,190167231.0,249.6237,247.98,246.15,257.6591,243.9,2020-04-01,1214396,0.62,3.2,13.2,0.0,2020.2493150684932
19,190167231.0,249.6237,247.98,246.15,257.6591,243.9,2020-04-01,1214396,0.62,3.2,14.7,0.0,2020.2493150684932
20,177931526.0,249.2326,245.19,251.83,252.68,244.59,2020-04-02,1309518,0.63,3.2,13.2,0.023075360552508695,2020.2520547945205
21,135814457.0,248.5675,250.76,248.19,253.32,245.22,2020-04-03,998211,0.62,3.2,13.2,-0.01445419529047376,2020.2547945205479
22,188155875.0,260.7681,257.84,264.86,267.0,256.725,2020-04-06,1033632,0.67,3.2,13.2,0.0671662838954028,2020.2630136986302
23,202150376.0,269.6387,274.21,265.13,275.03,264.89,2020-04-07,1292805,0.75,3.2,13.2,0.0010194064788944246,2020.2657534246575
24,154013360.0,271.0468,267.96,274.03,276.0,265.56,2020-04-08,950861,0.77,3.2,13.2,0.033568438124693456,2020.268493150685
