,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
0,03/10/20,129.07,77972200,0.0,0.0,0.0,129.07,,131.89,133.60,121.60,0.0,2020-03-10,2020.1917808219177,0.0
1,03/11/20,126.85,67067945,-2.22,-1.72,-1.72,126.85,-1.72,128.04,130.72,122.60,-1.72,2020-03-11,2020.194520547945,-1.72
2,03/12/20,112.11,94545250,-14.74,-11.62,-11.62,112.11,-13.14,116.18,118.90,109.25,-13.14,2020-03-12,2020.1972602739727,-11.62
3,03/13/20,109.32,113201250,-2.79,-2.49,-2.49,109.32,-15.3,119.00,121.51,100.40,-15.3,2020-03-13,2020.2,-2.49
4,03/16/20,89.01,102447300,-20.31,-18.58,-18.58,89.01,-31.03,93.90,98.97,88.43,-31.03,2020-03-16,2020.2082191780821,-18.58
5,03/17/20,86.04,119972900,-2.97,-3.34,-3.34,86.04,-33.34,88.00,94.37,79.20,-33.34,2020-03-17,2020.2109589041097,-3.34
6,03/18/20,72.24,118930800,-13.8,-16.03,-16.03,72.24,-44.03,77.80,80.97,70.10,-44.03,2020-03-18,2020.213698630137,-16.03
7,03/19/20,85.53,150977300,13.28,18.39,18.39,85.53,-33.73,74.94,90.40,71.69,-33.73,2020-03-19,2020.2164383561644,18.39
8,03/20/20,85.51,141427500,-0.02,-0.03,-0.03,85.51,-33.75,87.64,95.40,85.16,-33.75,2020-03-20,2020.2191780821918,-0.03
9,03/23/20,86.86,82272750,1.35,1.58,1.58,86.86,-32.7,86.72,88.40,82.10,-32.7,2020-03-23,2020.227397260274,1.58
10,03/24/20,101.00,114475850,14.14,16.28,16.28,101.00,-21.75,95.46,102.74,94.80,-21.75,2020-03-24,2020.2301369863014,16.28
11,03/25/20,107.85,106113750,6.85,6.78,6.78,107.85,-16.44,109.05,111.40,102.22,-16.44,2020-03-25,2020.2328767123288,6.78
12,03/26/20,105.63,87110400,-2.22,-2.06,-2.06,105.63,-18.16,109.48,112.00,102.45,-18.16,2020-03-26,2020.2356164383561,-2.06
13,03/27/20,102.87,71887050,-2.76,-2.61,-2.61,102.87,-20.3,101.00,105.16,98.81,-20.3,2020-03-27,2020.2383561643835,-2.61
14,03/30/20,100.43,59990348,-2.45,-2.38,-2.38,100.43,-22.19,102.05,103.33,98.25,-22.19,2020-03-30,2020.2465753424658,-2.38
15,03/31/20,104.80,88857445,4.37,4.36,4.36,104.80,-18.8,100.25,108.59,99.40,-18.8,2020-03-31,2020.2493150684932,4.36
16,04/01/20,96.31,66765900,-8.49,-8.1,-8.1,96.31,-25.38,100.80,102.79,95.02,-25.38,2020-04-01,2020.2493150684932,-8.1
17,04/02/20,90.89,99292150,-5.42,-5.63,-5.63,90.89,-29.58,96.21,98.85,89.28,-29.58,2020-04-02,2020.2520547945205,-5.63
18,04/03/20,96.00,112810400,5.11,5.62,5.62,96.00,-25.62,101.90,103.10,93.68,-25.62,2020-04-03,2020.2547945205479,5.62
19,04/06/20,103.25,74509200,7.25,7.55,7.55,103.25,-20.0,102.24,104.20,99.59,-20.0,2020-04-06,2020.2630136986302,7.55
20,04/07/20,109.09,89598900,5.84,5.66,5.66,109.09,-15.48,109.00,113.00,106.47,-15.48,2020-04-07,2020.2657534246575,5.66
21,04/08/20,109.77,63280100,0.68,0.62,0.62,109.77,-14.95,110.84,111.44,106.67,-14.95,2020-04-08,2020.268493150685,0.62
22,04/09/20,114.60,68250000,4.83,4.4,4.4,114.60,-11.21,112.42,115.04,111.42,-11.21,2020-04-09,2020.2712328767122,4.4
23,04/13/20,130.19,112377090,15.59,13.6,13.6,130.19,0.87,118.03,130.40,116.11,0.87,2020-04-13,2020.282191780822,13.6
24,04/14/20,141.98,152882550,11.79,9.05,9.05,141.98,10.0,139.79,148.38,138.49,10.0,2020-04-14,2020.2849315068493,9.05
25,04/15/20,145.97,117885000,3.99,2.81,2.81,145.97,13.09,148.40,150.63,142.00,13.09,2020-04-15,2020.2876712328766,2.81
26,04/16/20,149.04,103289300,3.08,2.11,2.11,149.04,15.48,143.39,151.89,141.34,15.48,2020-04-16,2020.2904109589042,2.11
27,04/17/20,150.78,65641150,1.74,1.16,1.16,150.78,16.82,154.46,154.99,149.53,16.82,2020-04-17,2020.2931506849316,1.16
28,04/20/20,149.27,73731850,-1.51,-1.0,-1.0,149.27,15.66,146.54,153.11,142.44,15.66,2020-04-20,2020.3013698630136,-1.0
